title         = ASCII CSV version of worksheet 33, "Coal: Consumption" from the 2016 British Petroleum Statistical Review
file URL      = http://mazamascience.com/Data/Energy/BP/2016/BP_coal_consumption_mtoe.csv
original data = http://www.bp.com/content/dam/bp/excel/Energy-Economics/statistical-review-2016/bp-statistical-review-of-world-energy-2016-workbook.xlsx
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for non-standard BP groupings (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent

"YEAR","AE","AR","AT","AU","AZ","BD","BE","BG","BP_EU2","BP_FSU","BP_NONOECD","BP_OAF","BP_OAP","BP_OECD","BP_OEE","BP_OME","BP_OSCA","BP_TAF","BP_TAP","BP_TEE","BP_TME","BP_TNA","BP_TSCA","BP_WORLD","BR","BY","CA","CH","CL","CN","CO","CZ","DE","DK","DZ","EC","EG","ES","FI","FR","GB","GR","HK","HU","ID","IE","IL","IN","IR","IT","JP","KR","KW","KZ","LT","MX","MY","NL","NO","NZ","PE","PH","PK","PL","PT","QA","RO","RU","SA","SE","SG","SK","TH","TM","TR","TT","TW","UA","US","UZ","VE","VN","ZA"
1965,0.0,0.796,5.083,16.006,"na",0.0,19.169,5.996,509.286,297.437,516.31,3.041,10.798,885.118,11.789,0.007,0.086,28.171,237.702,821.493,0.218,307.992,5.852,1401.428,1.735,"na",15.476,1.275,1.165,114.42,2.014,35.326,160.746,3.698,0.07,0.0,0.403,9.7,1.742,41.37,117.397,2.107,0.123,10.91,0.129,3.126,0.0,35.547,0.211,8.626,48.712,4.952,0.0,"na","na",0.69,0.015,8.861,0.763,1.645,0.036,0.044,1.379,59.481,0.592,0.0,4.36,"na",0.0,2.229,0.004,6.039,0.045,"na",3.67,0.0,2.985,"na",291.826,"na",0.02,0.898,24.657
1966,0.0,0.833,4.855,16.598,"na",0.0,17.487,6.183,488.119,308.273,535.908,3.202,11.572,881.915,11.316,0.006,0.082,27.889,250.625,811.087,0.238,321.908,6.076,1417.823,1.88,"na",15.172,1.055,1.2,122.4,2.014,35.222,150.072,4.191,0.068,0.0,0.274,8.974,1.617,38.333,111.73,2.103,0.106,10.463,0.158,3.561,0.0,35.461,0.232,8.972,51.915,5.607,0.0,"na","na",0.736,0.02,8.073,0.703,1.6,0.046,0.042,1.164,60.278,0.604,0.0,4.695,"na",0.0,2.127,0.005,6.115,0.065,"na",4.084,0.0,2.969,"na",306.0,"na",0.021,0.943,24.345
1967,0.0,0.817,4.596,17.086,"na",0.0,17.162,6.714,473.535,313.046,529.643,2.984,12.672,865.145,10.047,0.007,0.086,28.506,243.968,799.566,0.263,316.156,6.329,1394.788,1.943,"na",15.032,0.889,1.2,108.8,2.21,34.062,144.566,3.588,0.052,0.0,0.422,9.12,1.556,37.837,104.371,2.01,0.085,9.077,0.111,3.792,0.0,36.052,0.256,9.832,57.024,5.349,0.0,"na","na",0.903,0.012,7.762,0.738,1.461,0.051,0.033,1.118,61.369,0.601,0.0,5.203,"na",0.0,2.112,0.003,5.896,0.116,"na",3.62,0.0,3.013,"na",300.221,"na",0.022,1.033,25.048
1968,0.0,0.657,4.538,17.53,"na",0.0,17.718,7.294,480.432,310.316,531.086,3.099,13.854,884.803,10.547,0.007,0.078,29.812,247.501,804.347,0.289,328.005,5.934,1415.888,1.912,"na",16.331,0.841,1.2,107.99,2.013,35.259,146.641,3.215,0.055,0.0,0.439,9.232,1.873,36.385,104.45,2.27,0.061,8.959,0.083,4.631,0.0,37.302,0.282,9.522,58.681,5.05,0.0,"na","na",0.946,0.012,7.356,0.751,1.375,0.051,0.015,1.231,64.322,0.541,0.0,5.704,"na",0.0,1.845,0.006,6.201,0.128,"na",3.935,0.0,3.037,"na",310.728,"na",0.023,1.146,26.219
1969,0.0,0.875,4.466,17.99,"na",0.0,17.256,7.333,486.756,316.217,564.204,3.083,14.883,895.902,10.583,0.007,0.078,30.104,277.696,816.705,0.318,328.736,6.545,1460.105,2.134,"na",15.767,0.76,1.2,130.405,2.149,36.647,150.985,2.937,0.07,0.0,0.474,9.29,2.247,36.423,101.81,2.197,0.036,9.093,0.1,4.409,0.0,39.625,0.311,9.774,62.681,5.274,0.0,"na","na",0.959,0.015,6.258,0.837,1.41,0.086,0.02,1.108,67.577,0.51,0.0,6.592,"na",0.0,1.801,0.003,6.522,0.136,"na",4.18,0.0,2.788,"na",312.01,"na",0.024,1.222,26.477
1970,0.0,0.98,4.803,18.039,"na",0.0,16.263,8.021,477.622,312.158,597.755,3.183,16.098,882.419,11.044,0.007,0.069,31.055,310.287,804.294,0.35,327.065,7.123,1480.174,2.437,"na",16.928,0.653,1.283,165.92,2.243,37.1,149.097,2.349,0.083,0.0,0.437,9.814,2.129,34.666,96.024,2.528,0.021,9.241,0.087,2.15,0.0,37.559,0.343,9.87,60.387,5.629,0.0,"na","na",1.076,0.016,4.586,0.855,1.411,0.087,0.02,0.923,70.18,0.467,0.0,7.162,"na",0.0,1.903,0.003,6.576,0.145,"na",4.657,0.0,2.724,"na",309.061,"na",0.024,1.305,27.352
1971,0.0,0.807,4.405,17.947,"na",0.0,13.467,7.917,455.82,318.47,634.615,3.794,18.108,837.023,11.711,0.008,0.061,33.425,332.152,789.527,0.249,309.716,6.569,1471.639,2.453,"na",16.09,0.441,1.239,191.305,1.744,38.653,142.681,1.438,0.023,0.0,0.359,9.863,1.88,31.766,85.1,3.726,0.027,8.945,0.1,2.052,0.0,38.08,0.242,9.535,54.829,5.689,0.0,"na","na",1.351,0.041,3.463,0.804,1.255,0.122,0.019,0.731,71.837,0.432,0.0,7.564,"na",0.0,1.715,0.004,6.898,0.165,"na",4.766,0.0,2.419,"na",292.275,"na",0.143,1.433,29.25
1972,0.0,0.72,3.994,18.693,"na",0.093,12.862,8.16,439.653,327.001,657.18,3.95,18.518,831.373,11.467,0.006,0.067,33.744,344.874,782.054,0.384,321.009,6.488,1488.553,2.583,"na",15.183,0.373,1.024,202.315,1.812,38.102,139.283,1.469,0.02,0.0,0.317,10.101,2.081,28.256,74.542,3.98,0.013,8.693,0.1,1.91,0.0,40.214,0.378,8.873,53.579,5.831,0.0,"na","na",1.493,0.104,2.962,0.873,1.286,0.132,0.019,0.586,75.147,0.382,0.0,7.918,"na",0.0,1.474,0.003,7.021,0.138,"na",5.132,0.0,2.304,"na",304.333,"na",0.15,1.078,29.457
1973,0.0,0.76,3.97,19.596,"na",0.121,10.793,8.223,446.251,330.877,667.668,3.998,18.925,865.94,11.903,0.014,0.062,35.676,353.293,793.136,0.648,344.113,6.741,1533.607,2.538,"na",15.637,0.354,1.112,204.965,1.846,37.283,139.736,2.251,0.023,0.0,0.276,9.893,2.306,27.949,80.738,4.681,0.007,8.738,0.067,1.863,0.0,39.678,0.635,9.003,56.648,7.374,0.0,"na","na",1.6,0.099,3.009,0.938,1.457,0.151,0.019,0.582,75.456,0.565,0.0,8.916,"na",0.0,1.629,0.004,6.827,0.136,"na",5.235,0.0,2.062,"na",326.876,"na",0.272,1.552,31.378
1974,0.0,0.974,4.189,20.699,"na",0.108,11.545,8.083,441.271,332.501,676.085,3.785,19.66,858.603,12.331,0.009,0.061,37.157,362.038,790.654,0.705,336.755,7.378,1534.687,2.692,"na",15.888,0.305,1.054,202.8,2.232,37.145,140.337,2.126,0.019,0.0,0.483,9.582,2.366,28.289,71.08,4.93,0.007,8.334,0.073,2.009,0.0,44.786,0.695,9.804,60.047,7.605,0.0,"na","na",1.768,0.099,2.866,1.04,1.5,0.161,0.026,0.533,77.583,0.439,0.0,9.377,"na",0.0,1.8,0.005,6.804,0.137,"na",5.787,0.0,2.099,"na",319.099,"na",0.204,1.854,32.871
